umur,gender,tempat_tinggal,konsumsi_kopi,frekuensi_kopi,jumlah_kopi,nominal_olah,nominal_beli,metode,jenis_biji,faktor_beli,jenis_kopi,perusahaan_kopi,preferensi_tempat,tingkat_percobaan,preferensi_tren,pengalaman,preferensi_merekomendasikan
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,harga,latte/cappuccino,Starbucks,kafe/restoran,Tidak pernah,Kombinasi keduanya,Cukup baik,Tidak
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Campuran (Blend),rasa,kopi hitam,Tidak ada yang cocok,other,Jarang,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"> Rp500.000,00","> Rp40.000,00",Diseduh,Arabica,rasa,espresso,Starbucks,kafe/restoran,Sangat sering,Mengikuti tren,Sangat baik,Ya
45 - 54 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","< Rp8.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Starbucks,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Tidak
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp80.000,00 - Rp119.999,00","> Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,other,kopi instan,Tidak ada yang cocok,toko kelontong/supermarket,Jarang,Tetap dengan tradisi,Cukup baik,Tidak
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,3.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Campuran (Blend),other,latte/cappuccino,Tidak ada yang cocok,toko kelontong/supermarket,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Manual brew,Arabica,rasa,espresso,Fore,kafe/restoran,Jarang,Tetap dengan tradisi,Sangat baik,Ya
18 - 24 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Beberapa kali dalam seminggu,4.0,"Rp80.000,00 - Rp119.999,00","> Rp40.000,00",Machine brew,Campuran (Blend),rasa,latte/cappuccino,Tidak ada yang cocok,kafe/restoran,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp15.000,00 - Rp19.999,00",Manual brew,Robusta,other,kopi hitam,Tidak ada yang cocok,kedai kopi,Cukup sering,Mengikuti tren,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","< Rp8.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,other,Starbucks,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
25 - 34 tahun,Perempuan,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,7.0,"Rp120.000,00 - Rp299.999,00","> Rp40.000,00",Machine brew,Arabica,rasa,latte/cappuccino,Fore,kedai kopi,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,4.0,"Rp300.000,00 - Rp500.000,00","> Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,other,Fore,kafe/restoran,Jarang,Tetap dengan tradisi,Cukup baik,Ya
25 - 34 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Arabica,rasa,latte/cappuccino,Starbucks,toko kelontong/supermarket,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,4.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,aroma,kopi hitam,Tidak ada yang cocok,kafe/restoran,Cukup sering,Mengikuti tren,Cukup baik,Ya
25 - 34 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,4.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,harga,latte/cappuccino,Fore,kedai kopi,Jarang,Mengikuti tren,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Dalam situasi tertentu / tidak pasti,2.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Robusta,kualitas bahan baku,kopi hitam,Starbucks,kedai kopi,Jarang,Tetap dengan tradisi,Sangat baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,2.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Robusta,rasa,latte/cappuccino,Fore,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"< Rp8.000,00","Rp15.000,00 - Rp19.999,00",Diseduh,Robusta,kualitas bahan baku,kopi hitam,Tidak ada yang cocok,toko kelontong/supermarket,Jarang,Tetap dengan tradisi,Cukup baik,Ya
55 tahun ke atas,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,10.0,"Rp80.000,00 - Rp119.999,00","< Rp8.000,00",Diseduh,Robusta,rasa,latte/cappuccino,Tidak ada yang cocok,kedai kopi,Jarang,Tetap dengan tradisi,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Arabica,kualitas bahan baku,latte/cappuccino,Starbucks,kedai kopi,Sangat sering,Mengikuti tren,Sangat baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Campuran (Blend),aroma,espresso,Starbucks,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp40.000,00 - Rp79.999,00","> Rp40.000,00",Diseduh,Robusta,rasa,kopi hitam,Kopi Kenangan,kafe/restoran,Jarang,Tetap dengan tradisi,Sangat baik,Ya
25 - 34 tahun,Laki-laki,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Ya,Beberapa kali dalam seminggu,5.0,"Rp80.000,00 - Rp119.999,00","Rp15.000,00 - Rp19.999,00",Diseduh,Arabica,other,kopi hitam,Kopi Kenangan,kedai kopi,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","Rp15.000,00 - Rp19.999,00",Diseduh,Campuran (Blend),rasa,kopi hitam,Tidak ada yang cocok,kedai kopi,Tidak pernah,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Manual brew,Arabica,rasa,kopi hitam,Kopi Kenangan,kedai kopi,Sangat sering,Mengikuti tren,Sangat baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"< Rp8.000,00","Rp15.000,00 - Rp19.999,00",Diseduh,Robusta,kualitas bahan baku,kopi hitam,Starbucks,kedai kopi,Cukup sering,Mengikuti tren,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp300.000,00 - Rp500.000,00","> Rp40.000,00",Manual brew,Campuran (Blend),rasa,kopi hitam,Tidak ada yang cocok,other,Jarang,Tetap dengan tradisi,Cukup baik,Ya
55 tahun ke atas,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,6.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Arabica,aroma,espresso,Kopi Kenangan,kafe/restoran,Jarang,Tetap dengan tradisi,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Diseduh,Arabica,rasa,latte/cappuccino,Fore,kafe/restoran,Cukup sering,Mengikuti tren,Sangat baik,Ya
25 - 34 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Kopi Kenangan,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,10.0,"Rp300.000,00 - Rp500.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,kopi hitam,Janji Jiwa,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,1.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Arabica,rasa,latte/cappuccino,Tidak ada yang cocok,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Diseduh,Robusta,rasa,espresso,Starbucks,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
18 - 24 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,3.0,"< Rp8.000,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,kualitas bahan baku,kopi hitam,Starbucks,kafe/restoran,Jarang,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,6.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Machine brew,Campuran (Blend),rasa,latte/cappuccino,Janji Jiwa,kedai kopi,Cukup sering,Kombinasi keduanya,Sangat baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Tidak ada yang cocok,kedai kopi,Tidak pernah,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,8.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Arabica,rasa,espresso,Kopi Kenangan,kedai kopi,Sangat sering,Mengikuti tren,Sangat baik,Tidak
35 - 44 tahun,Laki-laki,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","Rp8.000,00 - Rp14.999,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,kenyamanan lokasi,kopi hitam,Tidak ada yang cocok,kedai kopi,Tidak pernah,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,3.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Robusta,rasa,kopi hitam,Janji Jiwa,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
55 tahun ke atas,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Robusta,aroma,kopi instan,Kopi Kenangan,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Kurang baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Arabica,kualitas bahan baku,kopi hitam,Starbucks,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,1.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Campuran (Blend),rasa,latte/cappuccino,Fore,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Tidak
55 tahun ke atas,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,kualitas bahan baku,kopi hitam,Tidak ada yang cocok,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Cukup baik,Ya
25 - 34 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"< Rp8.000,00","Rp15.000,00 - Rp19.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,kopi instan,Tidak ada yang cocok,toko kelontong/supermarket,Tidak pernah,Tetap dengan tradisi,Kurang baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,6.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Robusta,aroma,kopi hitam,Tidak ada yang cocok,kedai kopi,Jarang,Tetap dengan tradisi,Cukup baik,Ya
18 - 24 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"< Rp8.000,00","Rp8.000,00 - Rp14.999,00",Diseduh,Arabica,rasa,kopi hitam,Starbucks,kedai kopi,Sangat sering,Kombinasi keduanya,Sangat baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"> Rp500.000,00","> Rp40.000,00",Manual brew,Arabica,rasa,kopi hitam,Tidak ada yang cocok,kafe/restoran,Cukup sering,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,6.0,"Rp300.000,00 - Rp500.000,00","< Rp8.000,00",Machine brew,Arabica,rasa,kopi hitam,Tidak ada yang cocok,kedai kopi,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
di bawah 18 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Excelsa,rasa,espresso,Fore,kedai kopi,Tidak pernah,Mengikuti tren,Cukup baik,Ya
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"< Rp8.000,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,kopi hitam,Starbucks,toko kelontong/supermarket,Jarang,Tetap dengan tradisi,Kurang baik,Ya
di bawah 18 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,frappucino,Kopi Kenangan,kafe/restoran,Jarang,Kombinasi keduanya,Sangat baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,kopi instan,Tidak ada yang cocok,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Cukup baik,Ya
di bawah 18 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,4.0,"> Rp500.000,00","> Rp40.000,00",Machine brew,Arabica,kualitas bahan baku,latte/cappuccino,Starbucks,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Ya,Setiap hari,7.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Machine brew,Robusta,rasa,kopi hitam,Kopi Kenangan,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Robusta,rasa,latte/cappuccino,Starbucks,kafe/restoran,Cukup sering,Tetap dengan tradisi,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Arabica,harga,latte/cappuccino,Kopi Kenangan,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
di bawah 18 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","> Rp40.000,00",Diseduh,Robusta,rasa,kopi instan,Starbucks,toko kelontong/supermarket,Tidak pernah,Tetap dengan tradisi,Cukup baik,Ya
